,Meta Data
1. Information,"Intraday (30min) open, high, low, close prices and volume"
2. Symbol,NVDA
3. Last Refreshed,2024-07-31 19:30:00
4. Interval,30min
5. Output Size,Full size
6. Time Zone,US/Eastern
