DateTime,Open,High,Low,Close,Volume
2022-10-31 19:59:00,13.4555,13.4565,13.4395,13.4565,3000
2022-10-31 19:57:00,13.4615,13.4615,13.4545,13.4545,8000
2022-10-31 19:56:00,13.4645,13.4645,13.4555,13.4585,59730
2022-10-31 19:55:00,13.4665,13.4665,13.4615,13.4645,43370
2022-10-31 19:54:00,13.4655,13.4655,13.4655,13.4655,3000
2022-10-31 19:53:00,13.4645,13.4645,13.4645,13.4645,1000
2022-10-31 19:52:00,13.4665,13.4665,13.4665,13.4665,40000
2022-10-31 19:51:00,13.4765,13.4765,13.4675,13.4675,39180
2022-10-31 19:50:00,13.4765,13.4765,13.4755,13.4765,77520
2022-10-31 19:49:00,13.4795,13.4795,13.4765,13.4765,24790
2022-10-31 19:48:00,13.4795,13.4795,13.4795,13.4795,1000
2022-10-31 19:47:00,13.4815,13.4815,13.4815,13.4815,2000
2022-10-31 19:45:00,13.4795,13.4795,13.4795,13.4795,20640
2022-10-31 19:44:00,13.4815,13.4815,13.4815,13.4815,1000
2022-10-31 19:41:00,13.4795,13.4795,13.4795,13.4795,2600
2022-10-31 19:40:00,13.4795,13.4795,13.4795,13.4795,1720
2022-10-31 19:39:00,13.4815,13.4815,13.4805,13.4805,5520
2022-10-31 19:36:00,13.4805,13.4805,13.4805,13.4805,1000
2022-10-31 19:35:00,13.4835,13.4835,13.4835,13.4835,8350
2022-10-31 19:34:00,13.4805,13.4805,13.4805,13.4805,4000
2022-10-31 19:31:00,13.4835,13.4835,13.4835,13.4835,2000
2022-10-31 19:30:00,13.4805,13.4835,13.4805,13.4835,14930
2022-10-31 19:29:00,13.4805,13.4805,13.4805,13.4805,1000
2022-10-31 19:25:00,13.4795,13.4795,13.4795,13.4795,3980
2022-10-31 19:18:00,13.4865,13.4865,13.4865,13.4865,2730
2022-10-31 19:15:00,13.4865,13.4895,13.4865,13.4875,5900
2022-10-31 19:13:00,13.4795,13.4795,13.4795,13.4795,1000
2022-10-31 19:10:00,13.4895,13.4895,13.4895,13.4895,2000
2022-10-31 19:08:00,13.4895,13.4895,13.4895,13.4895,1390
2022-10-31 19:05:00,13.4915,13.4915,13.4915,13.4915,1000
2022-10-31 19:02:00,13.4865,13.4865,13.4865,13.4865,43100
2022-10-31 19:01:00,13.4845,13.4855,13.4845,13.4855,3120
2022-10-31 18:58:00,13.4825,13.4835,13.4825,13.4835,12000
2022-10-31 18:56:00,13.4865,13.4865,13.4865,13.4865,4680
2022-10-31 18:55:00,13.4905,13.4905,13.4865,13.4865,12230
2022-10-31 18:53:00,13.4895,13.4905,13.4895,13.4905,2000
2022-10-31 18:51:00,13.4915,13.4915,13.4865,13.4865,7000
2022-10-31 18:50:00,13.4915,13.4915,13.4895,13.4895,11490
2022-10-31 18:49:00,13.4895,13.4895,13.4895,13.4895,1000
2022-10-31 18:46:00,13.4825,13.4825,13.4825,13.4825,1000
2022-10-31 18:45:00,13.4845,13.4865,13.4845,13.4865,2040
2022-10-31 18:44:00,13.4815,13.4815,13.4815,13.4815,3000
2022-10-31 18:33:00,13.4935,13.4935,13.4935,13.4935,1000
2022-10-31 18:29:00,13.4815,13.4815,13.4815,13.4815,6000
2022-10-31 18:28:00,13.4845,13.4845,13.4845,13.4845,1000
2022-10-31 18:24:00,13.4965,13.4965,13.4965,13.4965,3000
2022-10-31 18:23:00,13.4915,13.4915,13.4865,13.4865,6000
2022-10-31 18:17:00,13.4815,13.4815,13.4805,13.4805,8610
2022-10-31 18:15:00,13.4865,13.4865,13.4855,13.4855,13470
2022-10-31 18:08:00,13.4775,13.4795,13.4775,13.4795,2000
2022-10-31 18:07:00,13.4815,13.4815,13.4795,13.4795,3740
