,Meta Data
1. Information,"Intraday (60min) open, high, low, close prices and volume"
2. Symbol,KO
3. Last Refreshed,2024-04-30 19:00:00
4. Interval,60min
5. Output Size,Full size
6. Time Zone,US/Eastern
