,Meta Data
1. Information,"Intraday (15min) open, high, low, close prices and volume"
2. Symbol,KO
3. Last Refreshed,2023-04-28 19:45:00
4. Interval,15min
5. Output Size,Full size
6. Time Zone,US/Eastern
