,Meta Data
1. Information,"Intraday (1min) open, high, low, close prices and volume"
2. Symbol,GOOG
3. Last Refreshed,2022-07-29 19:59:00
4. Interval,1min
5. Output Size,Full size
6. Time Zone,US/Eastern
