DateTime,Open,High,Low,Close,Volume
2025-07-31 19:45:00,538.6000,538.6000,537.5000,537.5700,10224
2025-07-31 19:30:00,538.8800,539.0000,538.0000,538.3000,6382
2025-07-31 19:15:00,538.5500,539.0000,538.0000,538.5650,7429
2025-07-31 19:00:00,538.4500,539.0000,537.6000,538.2600,11558
2025-07-31 18:45:00,539.0000,539.0000,538.0000,538.9202,18980
2025-07-31 18:30:00,539.0750,539.5000,537.5000,539.0000,20781
2025-07-31 18:15:00,540.2000,540.4000,533.5000,539.0750,36272
2025-07-31 18:00:00,539.4995,540.5000,539.3700,540.2500,51918
2025-07-31 17:45:00,537.6500,539.5000,537.5000,539.4500,47431
2025-07-31 17:30:00,536.4300,559.4748,535.7000,537.6500,25343
2025-07-31 17:15:00,536.2800,536.9740,535.7000,536.9400,7685
2025-07-31 17:00:00,536.0600,536.3000,513.9225,536.3000,17700
2025-07-31 16:45:00,537.3000,562.5749,513.9225,536.1100,23591
2025-07-31 16:30:00,537.0000,537.5000,533.5000,537.3000,54063
2025-07-31 16:15:00,535.8400,537.1500,533.5000,537.0000,57470
2025-07-31 16:00:00,533.5650,536.6970,533.5000,535.9700,12841330
2025-07-31 15:45:00,534.6600,534.7178,532.3100,533.5650,3473218
2025-07-31 15:30:00,532.2800,535.2200,531.9000,534.6750,1475323
2025-07-31 15:15:00,532.8150,533.2570,532.2000,532.2100,888103
2025-07-31 15:00:00,533.6000,534.2750,532.7450,532.8400,743172
2025-07-31 14:45:00,534.3300,534.9000,533.5300,533.5600,672012
2025-07-31 14:30:00,534.3200,534.8050,533.6300,534.3500,615852
2025-07-31 14:15:00,533.5700,534.4200,532.5401,534.3700,777469
2025-07-31 14:00:00,533.3750,533.9250,532.5836,533.6050,677000
2025-07-31 13:45:00,535.0300,535.5000,532.8500,533.4200,679690
2025-07-31 13:30:00,534.5100,535.1100,533.3150,535.0275,653244
2025-07-31 13:15:00,535.3900,535.7100,533.6650,534.4967,693334
2025-07-31 13:00:00,536.4550,536.7800,534.7400,535.4000,664767
2025-07-31 12:45:00,536.2750,537.0000,535.4000,536.4550,655677
2025-07-31 12:30:00,536.4500,537.1499,535.1400,536.2750,962379
2025-07-31 12:15:00,536.7450,536.7900,535.7550,536.4580,552704
2025-07-31 12:00:00,536.6600,537.2300,535.5700,536.7500,816552
2025-07-31 11:45:00,536.4400,536.8000,535.5300,536.7300,672237
2025-07-31 11:30:00,537.0400,537.7100,535.2600,536.4700,1146783
2025-07-31 11:15:00,536.2306,537.2200,535.4000,537.0000,988410
2025-07-31 11:00:00,535.0500,537.5800,535.0400,536.3200,1317246
