,Meta Data
1. Information,"Intraday (30min) open, high, low, close prices and volume"
2. Symbol,MSFT
3. Last Refreshed,2022-11-30 19:30:00
4. Interval,30min
5. Output Size,Full size
6. Time Zone,US/Eastern
